tab,asin,name,sales,gross_revenue,units,sessions,ad_cost,ads_acos
CC_SA,_TOTAL_,,2875.75,2876.53,45,287,147.37,21.39
CC_SA,B084RQKLV8,Headlight Kit,1119.3,1119.3,14,111,12.5,7.91
CC_SA,B0F45C2YHV,Tire Coat,759.85,759.85,13,71,58.51,25.22
CC_SA,B0B94G13CN,Paint Sealant,382.25,383.03,5,59,23.97,31.54
CC_SA,B0DKVZRX69,Interior Detailer,314.65,314.65,7,35,35.14,15.76
CC_SA,B0DVB4P9KQ,Vehicle Shampoo,179.8,179.8,4,8,0,0
CC_SA,B0FW6WFX4D,Wheel Sealant,69.95,69.95,1,1,0,0
CC_SA,B0DJMW6283,Microfiber Towels,49.95,49.95,1,2,0,0
CC_SA,B0CQN1RXYB,Glass Coat,0,0,0,0,1.35,0
CC_SA,B0FYRJ1966,Plastic Restorer,0,0,0,0,0,0
CC_SA,B0CN8HJSYM,Pro Ceramic Coating,0,0,0,0,15.9,0
