tab,asin,name,sales,gross_revenue,units,sessions,ad_cost,ads_acos
CL_US,_TOTAL_,,20050.62,21137.97,277,2397,934.33,41.06
CL_US,B0CJRV63CT,C-Series Glacier Black 4oz (C-7600T),1393.6,1414.83,28,683,134.78,54.79
CL_US,B0CJRVJFPR,C-Series Glacier Black 16oz (C-7600P),1599.2,1626.6,16,107,10.7,0
CL_US,B081J7XGV3,H-Series Top Colors Starter Kit,674.97,738.52,3,27,5.04,0
CL_US,B0CJRXFW47,C-Series Burnt Bronze 4oz (C-148T),798.2,810.07,16,230,21.05,0
CL_US,B0CJRTVXWG,C-Series Graphite Black 4oz (C-102T),411.6,433.17,8,55,11.83,0
CL_US,B0BMJCDZML,C-Series Burnt Bronze Project Kit (C-148),517.36,555.51,4,35,3.27,0
CL_US,B0BMJM7RB5,C-Series Graphite Black Project Kit (C-102),518.66,561.46,4,113,108.5,42.22
CL_US,B0CJRVC2N9,C-Series Flat Dark Earth 4oz (C-246T),437.83,445.83,9,101,2.56,0
CL_US,B0CJRXFW4F,C-Series Glacier Silver 16oz (C-7700P),605.7,639.14,6,32,41.24,41.24
CL_US,B0CL14BYN9,H-Series Graphite Black 16oz (H-146P),447.95,468.02,5,15,18.39,10.39
