tab,asin,name,sales,gross_revenue,units,sessions,ad_cost,ads_acos
PP_US,_TOTAL_,,10834.98,11052.59,361,1574,1002.69,79.26
PP_US,B0CWVWKS22,High Gloss Black 1LB (PSS-11248),1045.85,1058.91,42,124,45.13,0
PP_US,B0CY3H9K1L,Super Chrome Plus 1LB (UMS-10671),1083.46,1086.94,28,267,177.85,43.59
PP_US,B08C5KXZQK,Gloss Black 1LB (USS-2603),615.16,616.74,26,220,56.24,133.89
PP_US,B00MI5357U,Clear Vision 1LB (PPS-2974),694.3,700.71,25,286,166.46,61.2
PP_US,B0CXW5XSYG,Basic White Texture 1LB (PTB-11165),727.6,727.6,20,0,23.75,0
PP_US,B00MI516TO,Gloss White 1LB (PSS-5690),122.05,122.06,5,39,25.06,0
PP_US,B0CWWJJYS1,Super Durable Matte Black 1LB (PSS-11181),418.55,429.01,15,31,18.77,0
PP_US,B086XLFY59,Bronze Chrome 1LB (PMB-4124),249.84,252.34,9,77,12.27,0
PP_US,B00MI5BL30,Hot Yellow 1LB (PSS-1623),65.48,67.8,2,2,3.27,0
PP_US,B00MI5B7UC,Stone Black 1LB (PSS-1168),272.64,272.65,11,24,10.77,0
