market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
AU,_TOTAL_,,,15858.76,488,465,775.03,6266.26,3554
AU,B084RQKLV8,AH-HLKITA,Headlight Kit,10496.71,309,294,420.11,3813.26,1772
AU,B07SHJVK4G,AH-TRKITA,Trim Coat,2701.90,82,77,149.92,817.75,606
AU,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,754.65,27,26,59.22,509.10,219
AU,B0B94G13CN,AH-RCPAINTA,Paint Sealant,611.10,18,18,57.79,342.45,179
AU,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,391.30,14,14,50.61,490.20,343
AU,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,329.25,15,15,37.38,293.50,206
AU,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,223.60,8,7,0,0,28
AU,B0DKVZRX69,AH-RCINT14A,Interior Detailer,197.55,9,8,0,0,76
AU,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,89.85,3,3,0,0,37
AU,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,62.85,3,3,0,0,50
AU,B0CN8HJSYM,AH-PROPAINTKITA,Pro Ceramic Coating,0,0,0,0,0,38
