market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
CA,_TOTAL_,,,49905.67,1678,1625,3891.86,29115.12,12018
CA,B084RQKLV8,AH-HLKITA,Headlight Kit,31798.88,956,926,1979.18,17296.37,5175
CA,B07SHJVK4G,AH-TRKITA,Trim Coat,7456.81,275,266,591.44,4594.07,2456
CA,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,4120.12,188,183,628.23,2629.99,1404
CA,B0B94G13CN,AH-RCPAINTA,Paint Sealant,3058.71,106,101,477.65,2906.26,1290
CA,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,2453.35,107,104,215.36,1688.43,1024
CA,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,479.00,20,20,0,0,137
CA,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,228.35,11,11,0,0,96
CA,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,191.64,12,11,0,0,88
CA,B0H1NM7467,AH-RCPL-QA,Plastic Restorer Pro Pack 32oz,88.58,2,2,0,0,49
CA,B0F8JJM54R,AH-CLAYMITTA,Clay Prep Mitt,30.23,1,1,0,0,12
CA,B08DDGFXPK,AH-810A,Trim Coat 50 Wipes,0,0,0,0,0,131
CA,B0C4QX35KX,AH-TRPROAUPC,Trim Coat 4oz,0,0,0,0,0,121
CA,B0F3G1V5SF,AH-813A,Glass Coat Pro Pack,0,0,0,0,0,16
CA,B0H3QRH9B7,AH-PROMARKITA,Marine Ceramic Coating,0,0,0,0,0,19
