market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
DE,_TOTAL_,,,4089.54,243,230,542.29,1417.54,1551
DE,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,1748.15,110,107,339.08,929.24,459
DE,B07SHJVK4G,AH-TRKITA,Trim Coat,1618.18,85,79,191.19,440.54,610
DE,B0B94G13CN,AH-RCPAINTA,Paint Sealant,317.67,16,15,0,0,207
DE,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,117.60,8,7,0,0,56
DE,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,106.45,9,9,12.02,47.76,122
DE,B0DKVZRX69,AH-RCINT14A,Interior Detailer,92.37,8,7,0,0,54
DE,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,31.36,2,2,0,0,20
DE,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,29.34,3,3,0,0,5
DE,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,28.42,2,1,0,0,3
DE,B0CN8HJSYM,AH-PROPAINTKITA,Pro Ceramic Coating,0,0,0,0,0,15
DE,B084RQKLV8,AH-HLKITA,Headlight Kit,0,0,0,0,0,0
