market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
IT,_TOTAL_,,,1684.32,77,77,169.96,531.83,1349
IT,B084RQKLV8,AH-HLKITA,Headlight Kit,1124.55,49,49,148.11,450.93,703
IT,B0B94G13CN,AH-RCPAINTA,Paint Sealant,340.42,15,15,13.63,29.42,334
IT,B07SHJVK4G,AH-TRKITA,Trim Coat,87.80,4,4,8.22,51.48,131
IT,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,38.85,3,3,0,0,10
IT,B0DVB4P9KQ,AH-VEHSHAM16A,Vehicle Shampoo,33.90,2,2,0,0,13
IT,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,27.90,2,2,0,0,44
IT,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,17.95,1,1,0,0,58
IT,B0DKVZRX69,AH-RCINT14A,Interior Detailer,12.95,1,1,0,0,17
IT,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,0,0,0,0,0,20
IT,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,0,0,0,0,0,12
IT,B0CN8HJSYM,AH-PROPAINTKITA,Pro Ceramic Coating,0,0,0,0,0,7
