market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
NL,_TOTAL_,,,2129.60,108,101,58.40,480.00,713
NL,B084RQKLV8,AH-HLKITA,Headlight Kit,1319.85,63,59,20.84,183.81,286
NL,B07SHJVK4G,AH-TRKITA,Trim Coat,478.80,24,21,14.94,108.32,179
NL,B0F45C2YHV,AH-RCTIRE10A,Tire Coat,118.65,7,7,8.21,65.12,64
NL,B0CQN1RXYB,AH-GLASSCOATA,Glass Coat,51.80,4,4,14.41,122.75,86
NL,B0FYRJ1966,AH-RCPL-B14A,Plastic Restorer,50.85,3,3,0,0,34
NL,B0B94G13CN,AH-RCPAINTA,Paint Sealant,41.90,2,2,0,0,38
NL,B0DKVZRX69,AH-RCINT14A,Interior Detailer,25.90,2,2,0,0,12
NL,B0DJMW6283,AH-MICRTOWEL12A,Microfiber Towels,23.90,2,2,0,0,7
NL,B0FW6WFX4D,AH-RCWHL14A,Wheel Sealant,17.95,1,1,0,0,7
