(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B089TVMF6J,B084RQKLV8,"CERAKOTE® Ceramic Headlight Restoration Kit, 10 Wipe Kit","30,209",633,36.44%,29.33%,"45,225",975,39.18%,31.57%,99.87%,100.00%,"9,334",189,30.90%,29.86%,"$166,748.93","$3,224.43","8,976",157
B0D67BNBP5,B07SHJVK4G,"CERAKOTE® Ceramic Trim Coat Kit - Quick Plastic Trim Restorer - Ceramic Coating Guaranteed Restoration to Last Over 200 Washes – A Ceramic Coating, Not a Dressing","13,348",400,16.10%,18.54%,"18,467",569,16.00%,18.43%,99.54%,100.00%,"3,278",170,24.56%,42.50%,"$54,933.20","$2,740.24","3,108",113
B0GYB3BNQD,B0F45C2YHV,"CERAKOTE® Rapid Ceramic Tire Coat, 10 oz","4,577",117,5.52%,5.42%,"6,264",165,5.43%,5.34%,99.13%,100.00%,"1,295",56,28.29%,47.86%,"$19,239.75",$794.45,"1,248",38
B0FPPKL8NX,B0B94G13CN,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating for Cars, 14 oz","9,719",228,11.72%,10.57%,"13,132",312,11.38%,10.10%,99.22%,100.00%,"1,083",23,11.14%,10.09%,"$21,238.88",$430.50,995,19
B0H1SW5VNC,B0FYRJ1966,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Spray, 14 oz","5,558",114,6.70%,5.28%,"7,229",157,6.26%,5.08%,99.77%,100.00%,"1,023",33,18.41%,28.95%,"$15,158.06",$468.16,989,28
B0GHPTBVQK,B0DJMW6283,"CERAKOTE® Microfiber Towels for Cars, 300 GSM Lint-Free Cloths, 12 Pack","1,338",27,1.61%,1.25%,"1,740",31,1.51%,1.00%,99.82%,100.00%,527,27,39.39%,100.00%,"$5,226.77",$258.15,471,15
B0F7CLSLCC,B0DKVZRX69,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 14 fl oz","1,951",35,2.35%,1.62%,"2,560",48,2.22%,1.55%,99.32%,100.00%,368,10,18.86%,28.57%,"$4,259.85",$110.50,364,10
B0F3YX7X5K,B0CQN1RXYB,"CERAKOTE® Ceramic Glass Coat Protectant, Rain Repellent for Cars, 4 Wipes","2,545",55,3.07%,2.55%,"3,227",70,2.80%,2.27%,97.43%,100.00%,297,12,11.67%,21.82%,"$2,951.15",$115.40,258,9
B089TVMF6J,B08FF6X75N,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, 20 Wipes","2,620",86,3.16%,3.99%,"3,494",115,3.03%,3.72%,95.54%,96.43%,213,28,8.13%,32.56%,"$10,569.35","$1,328.60",201,26
B0DW3TSFP9,B0DVV6K9Y6,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 32 oz",636,14,0.77%,0.65%,831,23,0.72%,0.74%,99.42%,100.00%,162,1,25.47%,7.14%,"$2,586.34",$15.17,157,1
B0FW6WFX4D,B0FW6WFX4D,"CERAKOTE® Rapid Ceramic Wheel Sealant Spray, 14 oz",504,17,0.61%,0.79%,717,36,0.62%,1.17%,99.42%,100.00%,142,3,28.17%,17.65%,"$2,262.50",$45.45,139,3
B0C4QX35KX,B0C4QX35KX,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 4 oz",714,55,0.86%,2.55%,976,84,0.85%,2.72%,95.72%,100.00%,131,24,18.35%,43.64%,"$5,185.45",$910.80,126,21
B0HF6JLTTZ,B0CN8HJSYM,"CERAKOTE® Ceramic Coating for Cars, Professional 60 Ml Kit","2,039",83,2.46%,3.85%,"2,852",122,2.47%,3.95%,96.16%,97.70%,137,14,6.72%,16.87%,"$13,526.15","$1,232.30",125,10
B0FPPKL8NX,B0C4ZVMRRK,CERAKOTE® Rapid Ceramic Paint Sealant - 32 oz Bulk Pack - Extremely Hydrophobic Ceramic Coating for Cars - Maximum Gloss & Shine – Unmatched Slickness - Pro Results,666,27,0.80%,1.25%,810,29,0.70%,0.94%,99.88%,100.00%,105,4,15.77%,14.81%,"$3,655.99",$126.04,101,3
B0GYB3BNQD,B0GY1XLQMS,"CERAKOTE® Rapid Ceramic Tire Coat, Deep Black Tire Shine Pro Pack, 32 oz",490,24,0.59%,1.11%,593,33,0.51%,1.07%,98.30%,100.00%,79,3,16.12%,12.50%,"$2,992.35",$108.15,79,3
B0DW3TSFP9,B0DVB4P9KQ,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 16 oz",508,8,0.61%,0.37%,601,10,0.52%,0.32%,100.00%,100.00%,71,1,13.98%,12.50%,$707.37,$9.47,71,1
B0DH5HKH5R,B0DH5HKH5R,"CERAKOTE® Premium Microfiber Applicator Pads for Cars, 3 Pack",173,7,0.21%,0.32%,218,12,0.19%,0.39%,100.00%,100.00%,70,3,40.46%,42.86%,$625.15,$25.50,70,3
B0H1SW5VNC,B0H1NM7467,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Pro Pack, 32 oz",434,29,0.52%,1.34%,533,47,0.46%,1.52%,99.10%,100.00%,62,7,14.29%,24.14%,"$1,661.45",$179.20,59,7
B0D67BNBP5,B08DDGFXPK,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 50 Wipes",665,27,0.80%,1.25%,771,35,0.67%,1.13%,92.93%,96.67%,57,9,8.57%,33.33%,"$4,213.95",$616.35,55,8
B0DH5ZC1N4,B0DH5ZC1N4,"CERAKOTE® Foam Applicator Pads for Tire Coating, 3 Pack",135,9,0.16%,0.42%,180,10,0.16%,0.32%,100.00%,100.00%,43,3,31.85%,33.33%,$383.50,$25.50,42,3
B089TVMF6J,B08DDJ49X7,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, Step 1, 50 Wipes",572,38,0.69%,1.76%,742,54,0.64%,1.75%,96.45%,100.00%,28,4,4.90%,10.53%,"$1,666.60",$227.80,28,4
B0F3YX7X5K,B0F3G1V5SF,"CERAKOTE® Ceramic Glass Coat Pro Pack, Rain Repellent, 20 Wipes",214,11,0.26%,0.51%,274,15,0.24%,0.49%,97.18%,100.00%,28,3,13.08%,27.27%,"$1,112.60",$113.85,28,3
B0H1T7P4WX,B0H1NP4461,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant Spray, 14 oz",217,4,0.26%,0.19%,289,5,0.25%,0.16%,100.00%,100.00%,28,2,12.90%,50.00%,$640.30,$43.60,28,2
B0F7CLSLCC,B0DKVBTNNT,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 2 Pack",104,8,0.13%,0.37%,123,9,0.11%,0.29%,98.50%,100.00%,20,1,19.23%,12.50%,$398.20,$18.96,19,1
B0HF6JLTTZ,B0GYBH76BR,"CERAKOTE® Ceramic Coating for Wheels and Rims, Professional 30 ml Kit",251,11,0.30%,0.51%,329,14,0.29%,0.45%,99.38%,100.00%,15,1,5.98%,9.09%,$896.25,$56.95,15,1
B0F8JJM54R,B0F8JJM54R,"CERAKOTE® Clay Prep Mitt for Vehicle Surface Prep, Medium Grade",52,1,0.06%,0.05%,68,1,0.06%,0.03%,100.00%,0.00%,13,0,25.00%,0.00%,$197.45,$0.00,12,0
B0GZSHD4GP,B0GZSHD4GP,"CERAKOTE® Glass Cleaner for Cars, Streak-Free Formula, 16 oz",50,0,0.06%,0.00%,57,0,0.05%,0.00%,100.00%,0.00%,12,0,24.00%,0.00%,$143.64,$0.00,12,0
B0F7CLSLCC,B0H1NDSGVJ,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Pro Pack, 32 fl oz",73,3,0.09%,0.14%,87,3,0.08%,0.10%,97.89%,100.00%,10,0,13.70%,0.00%,$209.50,$0.00,10,0
B0H1T7P4WX,B0H1SP98C3,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant, 32 oz",32,4,0.04%,0.19%,50,5,0.04%,0.16%,100.00%,100.00%,5,0,15.63%,0.00%,$199.75,$0.00,5,0
B0HF6JLTTZ,B0H3QLBNZF,"CERAKOTE® Ceramic Coating for PPF and Vinyl Wrap, Pro 60 ml Kit",137,8,0.17%,0.37%,157,9,0.14%,0.29%,96.30%,100.00%,5,0,3.65%,0.00%,$574.75,$0.00,5,0
B0H7WGD8YY,B0F2JBJXYJ,Cerakote Rapid Ceramic Aircraft Protective Coating (14 oz.) - Aviation Grade Ceramic Protection - Quick and Easy Application - Keep Aircraft Cleaner Longer,487,1,0.59%,0.05%,563,1,0.49%,0.03%,99.83%,100.00%,9,0,1.85%,0.00%,$251.55,$0.00,4,0
B0HF1D67G1,B0F2JL4F2W,"CERAKOTE® Ceramic Car Wash Kit, 7 Piece",48,1,0.06%,0.05%,63,1,0.05%,0.03%,100.00%,100.00%,3,0,6.25%,0.00%,$212.85,$0.00,3,0
B0HF1D67G1,B0F3G9BC3G,"CERAKOTE® Ceramic Car Wash and Detailing Kit, 5 Piece",73,1,0.09%,0.05%,86,2,0.07%,0.06%,96.70%,100.00%,3,0,4.11%,0.00%,$164.85,$0.00,3,0
B0CN8MFBLH,B0CN8MFBLH,"CERAKOTE® Professional Ceramic Coating for Cars, 360 ml Kit",37,6,0.04%,0.28%,39,7,0.03%,0.23%,82.93%,100.00%,1,1,2.70%,16.67%,$494.95,$494.95,1,1
B0HF1D67G1,B0F2BFSMZT,"CERAKOTE® Ceramic Coating Kit for Cars, 5 Piece",66,3,0.08%,0.14%,82,4,0.07%,0.13%,94.62%,100.00%,1,0,1.52%,0.00%,$144.95,$0.00,1,0
B0HF1D67G1,B0F3GD9G6N,"CERAKOTE® Car Detailing Bundle, Fully Covered, 8 Piece",68,2,0.08%,0.09%,84,4,0.07%,0.13%,96.70%,0.00%,1,0,1.47%,0.00%,$113.95,$0.00,1,0
B089TVMF6J,B089TVMF6J,CERAKOTE Ceramic Headlight Restoration Kit,5,0,0.01%,0.00%,5,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0CXKPY6B8,B0CXKPY6B8,CERAKOTE® Ceramic Headlight Restoration Pro Kit - 10 Vehicle Bundle - Brings Headlights Back to Like New Condition - 3 Easy Steps - No Power Tools Required,80,2,0.10%,0.09%,92,2,0.08%,0.06%,96.26%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DZDKDCDK,B0DZDKDCDK,CERAKOTE® Auto Paint Sealant Bundle with 12 Pack Microfiber Towels,14,0,0.02%,0.00%,28,0,0.02%,0.00%,80.77%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DZDW7FM3,B0DZDW7FM3,"CERAKOTE® Ceramic Trim Coat Kit, 10 Wipes, with Microfiber Towels",49,1,0.06%,0.05%,63,1,0.05%,0.03%,84.13%,100.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
