market,asin,category,category_rank,subcategory,subcategory_rank
AU,B084RQKLV8,Automotive,15,Automotive Care,5
AU,B07SHJVK4G,Automotive,133,Automotive Interior Care Products,20
AU,B0F45C2YHV,Automotive,400,Automotive Tyres & Wheels,22
AU,B0B94G13CN,Automotive,495,Automotive Fillers Adhesives & Sealants,17
AU,B0CQN1RXYB,Automotive,1139,Automotive Sealants,18
AU,B0FYRJ1966,Automotive,1216,Automotive Care,255
AU,B0DVB4P9KQ,Automotive,2754,Automotive Cleaners,86
AU,B0DKVZRX69,Automotive,10556,Automotive Interior Care Products,309
AU,B0DJMW6283,Automotive,11099,Automotive Sponges Cloths & Brushes,214
AU,B0FW6WFX4D,Automotive,11548,Automotive Sealants,97
AU,B0CN8HJSYM,Automotive,14515,Automotive Waxes,86
