market,asin,category,category_rank,subcategory,subcategory_rank
CA,B084RQKLV8,Automotive,6,Automotive Headlight Restoration Kits,1
CA,B07SHJVK4G,Automotive,148,Exterior Care Products,8
CA,B0F45C2YHV,Automotive,188,Tire & Wheel Care Products,4
CA,B0B94G13CN,Automotive,446,Automotive Sealants,7
CA,B0FYRJ1966,Automotive,711,Plastic Care Products,2
CA,B0FW6WFX4D,Automotive,3923,Tire & Wheel Care Products,23
CA,B0CQN1RXYB,Automotive,8234,Automotive Window Water Repellent Coatings,7
CA,B0DVB4P9KQ,Automotive,11639,Cleaners,38
CA,B0DJMW6283,Automotive,17444,Exterior Car Care Microfibre Cloths,64
CA,B0FX5WH19H,Automotive,761624,Exterior Car Care Microfibre Cloths,456
