market,asin,category,category_rank,subcategory,subcategory_rank
DE,B084RQKLV8,Automotive,481,Scheinwerfer-Reparatursets,4
DE,B0F45C2YHV,Automotive,1432,Reifenglanzmittel,4
DE,B07SHJVK4G,Automotive,3066,Kunststoffpflege & Gummipflege,44
DE,B0B94G13CN,Automotive,10094,Fuellstoffe Klebstoffe & Dichtstoffe,101
DE,B0FYRJ1966,Automotive,18898,Kunststoffpflege & Gummipflege,109
DE,B0DKVZRX69,Automotive,30365,Innenraumpflege,484
DE,B0CQN1RXYB,Automotive,35605,Wasserabweisende Beschichtungen fuer Autoscheiben,33
DE,B0CN8HJSYM,Automotive,111622,Polituren,768
DE,B0DJMW6283,Automotive,112770,Fensterleder Autopflege aussen,41
DE,B0FW6WFX4D,Automotive,168722,Bremsenpflege,289
DE,B0DVB4P9KQ,Automotive,345544,Kfz-Reinigungsmittel,1118
