market,asin,category,category_rank,subcategory,subcategory_rank
ES,B084RQKLV8,Automotive,346,Kits de restauracion de faros,5
ES,B07SHJVK4G,Automotive,2924,Cuidado de goma y plastico,20
ES,B0F45C2YHV,Automotive,3877,Lustre para neumaticos,6
ES,B0B94G13CN,Herramientas y Mejoras del Hogar,5622,Selladores,45
ES,B0FYRJ1966,Automotive,7861,Cuidado de goma y plastico,42
ES,B0CQN1RXYB,Automotive,42095,Revestimientos hidrofugos para ventanas,11
ES,B0FW6WFX4D,Automotive,86925,Cuidado de llantas,111
ES,B0DKVZRX69,Automotive,89276,Cuidado del interior,725
ES,B0DVB4P9KQ,Automotive,170335,Champus para automoviles,242
ES,B0DJMW6283,Kitchen,325490,Panos de limpieza reutilizables,972
