market,asin,category,category_rank,subcategory,subcategory_rank
FR,B084RQKLV8,Automotive,107,Kit de restauration de phares,3
FR,B0F45C2YHV,Automotive,2718,Lustrants pour pneus,4
FR,B07SHJVK4G,Automotive,5268,Entretien plastique et caoutchouc,32
FR,B0DJMW6283,Automotive,39371,Chamoisines d'entretien exterieur,24
FR,B0DKVZRX69,Automotive,42347,Entretien interieur,354
FR,B0CQN1RXYB,Automotive,44232,Revetements hydrofuges pour fenetres,5
FR,B0FW6WFX4D,Automotive,50377,Entretien des jantes,64
FR,B0B94G13CN,Automotive,66618,Pates et liquides a polir,71
FR,B0FYRJ1966,Automotive,82179,Entretien plastique et caoutchouc,193
FR,B0DVB4P9KQ,Automotive,89032,Nettoyants automobiles,208
