market,asin,category,category_rank,subcategory,subcategory_rank
IT,B084RQKLV8,Automotive,460,Kit riparazione fari,5
IT,B0B94G13CN,Automotive,3020,Stucchi adesivi e sigillanti,25
IT,B07SHJVK4G,Automotive,5040,Cura parti in plastica,36
IT,B0FYRJ1966,Automotive,10709,Cura parti in plastica,56
IT,B0CQN1RXYB,Automotive,62275,Rivestimenti idrorepellenti per finestrini,8
IT,B0DVB4P9KQ,Automotive,63266,Shampoo auto e moto,70
IT,B0DKVZRX69,Automotive,93318,Cura interni,628
IT,B0DJMW6283,Automotive,93445,Panni in camoscio per esterni auto,50
IT,B0F45C2YHV,Automotive,115294,Cere per vernici,105
IT,B0FW6WFX4D,Automotive,197547,Sigillanti per cerchioni,8
