market,asin,category,category_rank,subcategory,subcategory_rank
UK,B084RQKLV8,Automotive,38,Car & Motorbike Care,9
UK,B0F45C2YHV,Automotive,539,Tyre Gloss,6
UK,B0FYRJ1966,Automotive,2616,Plastic & Rubber Care,25
UK,B0B94G13CN,Automotive,3172,Gloss Seals for Car Paints,14
UK,B0FW6WFX4D,Automotive,5124,Vehicle Brake Care,17
UK,B0CQN1RXYB,Automotive,5244,Car Window Water Repellent Coatings,4
UK,B07SHJVK4G,Automotive,5683,Automotive Exterior Care,558
UK,B0DKVZRX69,Automotive,6466,Car Interior Care,181
UK,B0DJMW6283,Automotive,16000,Exterior Car Care Microfibre Cloths,94
UK,B0DVB4P9KQ,Automotive,43346,Automotive Cleaners,366
UK,B0CN8HJSYM,Automotive,65213,Gloss Seals for Car Paints,55
UK,B0FX5WH19H,Automotive,348332,Exterior Car Care Microfibre Cloths,851
