market,asin,category,category_rank,subcategory,subcategory_rank
US,B084RQKLV8,Automotive,12,Automotive Headlight Restoration Kits,1
US,B07SHJVK4G,Automotive,110,Automotive Plastic Care Products,1
US,B0F45C2YHV,Automotive,410,Automotive Wheel Care,4
US,B0B94G13CN,Automotive,562,Waxes,4
US,B0FYRJ1966,Automotive,752,Automotive Plastic Care Products,6
US,B0DJMW6283,Automotive,2265,Exterior Car Care Microfiber Cloths,28
US,B0DKVZRX69,Automotive,2502,Automotive Vinyl Care Products,8
US,B0CQN1RXYB,Automotive,3209,Automotive Window Cleaners,10
US,B0DVV6K9Y6,Automotive,5203,Cleaners,77
US,B0DVB4P9KQ,Automotive,5203,Cleaners,77
US,B0FW6WFX4D,Automotive,8322,Automotive Wheel Care,44
US,B0CN8HJSYM,Automotive,8734,Automotive Top Coats,8
US,B0FX5WH19H,Automotive,1605528,Exterior Car Care Microfiber Cloths,972
