market,campaign,ad_type,state,spend,sales,orders
CA,_TOTAL_,,,3497.67,25091.98,816.0
CA,[CA]_B084RQKLV8_HL_SP_PT_COMP,SP,enabled,1066.2,9069.45,268.0
CA,[CA]_B084RQKLV8_HL_SP_KWMIX,SP,enabled,209.41,1101.54,34.0
CA,[CA]_B0FYRJ1966_PLREST_SP_AT_LOOSE_SUB,SP,enabled,169.64,446.44,18.0
CA,[CA]_B0F45C2YHV_TIRE_SP_AT_LOOSE_CLOSE_SUB,SP,enabled,163.33,630.51,27.0
CA,[CA]_B0B94G13CN_RCPAINT_SP_PT_COMPS,SP,enabled,144.39,494.87,17.0
CA,[CA]_B084RQKLV8_HL_SP_EX_BRAND_CERAKOTE_HEADLIGHT_RESTORATION_KIT,SP,enabled,125.62,2315.46,69.0
CA,[CA]_B0FYRJ1966_PLREST_SP_BR_CA_SEED,SP,enabled,109.41,996.56,39.0
CA,[CA]_B07SHJVK4G_TRIM_SP_PT_SELFDEF,SP,enabled,106.14,945.38,30.0
CA,[CA]_B0F45C2YHV_TIRE_SP_KWMIX,SP,enabled,101.42,581.36,26.0
CA,[CA]_B0B94G13CN_PAINT_SP_EX_BRAND_CERAKOTE_HEADLIGHT_RESTORATION_KIT,SP,enabled,92.17,397.32,13.0
CA,[CA]_B084RQKLV8_HL_SP_PT_COMPS,SB,enabled,89.24,388.3,12.0
CA,[CA]_B07SHJVK4G_TRIM_SP_EX_KWMIX_BRANDED,SP,enabled,85.02,516.56,17.0
CA,[CA]_B07SHJVK4G_TRIM_SP_AT_LOOSE_COMP,SP,enabled,84.18,31.18,1.0
CA,[CA]_B07SHJVK4G_TRIM_SB_PT_COMPS,SB,enabled,77.37,498.88,15.0
CA,[CA]_B0F45C2YHV_TIRE_SP_EX_tire shine,SP,enabled,76.12,373.15,17.0
CA,[CA]_B0F45C2YHV_TIRE_SP_PT_COMP,SP,enabled,64.04,376.15,17.0
CA,[CA]_B084RQKLV8_HL_SP_EX_headlight restoration spray,SP,enabled,53.72,370.81,11.0
CA,[CA]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_TRIM_RESTORER,SP,enabled,53.21,901.55,30.0
CA,[CA]_B0B94G13CN_RCPAINT_SB_BR_KWMIX,SB,enabled,50.23,209.02,6.0
CA,[CA]_B0F45C2YHV_TIRE_SBV_PT_AUTO_APPLICATOR,SB,enabled,48.23,109.75,5.0
CA,[CA]_B0B94G13CN_PAINT_SP_EX_ceramic coating for car,SP,enabled,45.37,209.02,7.0
CA,[CA]_B084RQKLV8_HL_SP_EX_headlight restoration kit,SP,enabled,40.75,202.26,5.0
CA,[CA]_B0F45C2YHV_TIRE_SBV_KWMIX_APPLICATOR,SB,enabled,40.57,183.51,7.0
CA,[CA]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE,SP,enabled,38.54,616.26,20.0
CA,[CA]_B0B94G13CN_RCPAINT_SP_AT_CLOSE_COMP,SP,enabled,37.27,261.83,9.0
CA,[CA]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_CERAMIC_HEADLIGHT_RESTORAT,SP,enabled,35.4,132.31,4.0
CA,[CA]_B0B94G13CN_PAINT_SP_EX_BRAND_CERAKOTE_RAPID_CERAMIC_TIRE_COAT,SP,enabled,34.72,224.85,8.0
CA,[CA]_B084RQKLV8_HL_SP_EX_3m headlight restoration kit,SP,enabled,24.69,101.13,3.0
CA,[CA]_B0B94G13CN_PAINT_SP_EX_BRAND_CERAKOTE,SP,enabled,20.04,165.34,6.0
CA,[CA]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_TRIM_COAT,SP,enabled,18.05,200.8,7.0
CA,[CA]_B084RQKLV8_HL_SP_EX_BRAND_CERAKOTE_CERAMIC_HEADLIGHT_RESTORAT,SP,enabled,18.01,284.61,8.0
CA,[CA]_B0F45C2YHV_TIRE_SP_EX_BRAND_CERAKOTE_CERAMIC_COATING,SP,enabled,16.75,105.94,4.0
CA,[CA]_B0F45C2YHV_TIRE_SP_EX_tire cleaner,SP,enabled,15.47,87.8,4.0
