market,campaign,ad_type,state,spend,sales,orders
UK,_TOTAL_,,,2662.19,12142.07,833.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight restoration kit,SP,enabled,672.51,3500.64,232.0
UK,[UK]_B084RQKLV8_HL_SP_AT_CLOSE,SP,enabled,594.13,3855.46,256.0
UK,[UK]_B0F45C2YHV_TIRE_SP_AT_CLOSE_LOOSE,SP,enabled,391.74,1134.9,92.0
UK,[UK]_B084RQKLV8_HL_SBV_EX_headlight restoration kit,SB,enabled,118.3,524.43,35.0
UK,[UK]_B084RQKLV8_HL_SP_PH_headlight restoration,SP,enabled,112.37,398.92,27.0
UK,[UK]_B084RQKLV8_HL_SP_BR_KWMIX,SP,enabled,69.09,297.53,20.0
UK,[UK]_B0B94G13CN_PAINT_SP_EX_ceramic coating car,SP,enabled,60.66,201.1,13.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car head light restoration kit,SP,enabled,51.1,149.6,10.0
UK,[UK]_B0B94G13CN_PAINT_SP_EX_BRAND_CERAKOTE_CERAMIC_COATING,SP,enabled,50.21,284.34,15.0
UK,[UK]_B0FYRJ1966_PLREST_SP_AT_CLOSE_LOOSE,SP,enabled,46.11,87.22,7.0
UK,[UK]_B0F45C2YHV_TIRE_SP_AT_SUB,SP,enabled,45.93,46.48,4.0
UK,[UK]_B0CQN1RXYB_GLASS_SP_AT_SUB,SP,enabled,44.6,52.29,5.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tyre shine,SP,enabled,42.38,247.36,21.0
UK,[UK]_B0DKVZRX69_INTERIOR_SP_EX_KWMIX,SP,enabled,33.97,54.72,6.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlamp restoration kit,SP,enabled,33.66,149.6,10.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car headlight restoration kit,SP,enabled,26.18,164.56,11.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight cleaner and restorer kit,SP,enabled,22.56,44.88,3.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight restorer,SP,enabled,21.98,29.92,2.0
UK,[UK]_B0B94G13CN_RCPAINT_SP_BR_KWMIX,SP,enabled,16.23,47.37,3.0
UK,[UK]_B0F45C2YHV_TIRE_SBV_EX_cerakote tire coat,SB,enabled,14.78,11.62,1.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight polish,SP,enabled,13.92,44.88,3.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight uv protection,SP,enabled,13.61,44.88,3.0
UK,[UK]_B0B94G13CN_RCPAINT_SBV_EX_cerakote paint sealant,SB,enabled,12.13,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight restore kit,SP,enabled,11.95,44.88,3.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight restorer kit,SP,enabled,11.84,59.84,4.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight restoration kits,SP,enabled,11.44,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_meguiars headlight restoration kit,SP,enabled,9.81,74.8,5.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car headlamp restoration kit,SP,enabled,7.99,29.92,2.0
UK,[UK]_B07SHJVK4G_TRIM_SP_AT_CLOSE,SP,enabled,7.92,41.54,3.0
UK,[UK]_B0B94G13CN_RCPAINT_SP_EX_ceramic wheel coating,SP,enabled,7.68,43.21,3.0
UK,[UK]_B0DKVZRX69_INTERIOR_SP_AT_SUB,SP,paused,7.23,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car light restoration kit,SP,enabled,6.77,74.8,5.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_car tyre shine,SP,enabled,5.99,0.0,0.0
UK,[UK]_B0DVB4P9KQ_SOAP16_SP_AT_CLOSE,SP,enabled,4.63,44.0,4.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tyre black dressing,SP,enabled,4.3,11.62,1.0
UK,[UK]_B084RQKLV8_HL_SP_EX_turtle wax headlight lens restorer,SP,enabled,4.28,14.96,1.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_car tyre black shine,SP,enabled,3.87,23.24,2.0
UK,[UK]_B084RQKLV8_HL_SP_KW_EX_KWMIX,SP,enabled,3.17,14.96,1.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car headlight cleaner restorer,SP,enabled,2.73,29.92,2.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_KWMIX,SP,enabled,2.63,42.36,3.0
UK,[UK]_B084RQKLV8_HL_SP_EX_plastic headlight restoration kit,SP,enabled,2.5,29.92,2.0
UK,[UK]_B084RQKLV8_HL_SP_EX_head light restore kit,SP,enabled,2.46,14.96,1.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_car tyre shine wet look,SP,enabled,2.21,0.0,0.0
UK,[UK]_B0DKVZRX69_INTERIOR_SP_EX_inside car cleaning kit,SP,enabled,2.16,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_HEADLIGHT_RESTORATION_KIT,SP,enabled,2.07,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_wet look tyre shine,SP,enabled,1.96,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_AT_CLOSE_COMP,SP,enabled,1.92,41.54,3.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tire black,SP,enabled,1.82,23.24,2.0
UK,[UK]_B084RQKLV8_HL_SP_EX_the best headlight restoration kit,SP,enabled,1.81,14.96,1.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car lens restoration kit,SP,enabled,1.76,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight cleaner,SP,enabled,1.75,14.96,1.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_car tyre black restorer,SP,enabled,1.5,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_back to black trim restorer,SP,enabled,1.5,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tyre blackener,SP,enabled,1.49,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_ceracoat headlight restorer,SP,enabled,1.39,29.92,2.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_wheel black tyre shine,SP,enabled,1.32,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight uv sealant,SP,enabled,1.27,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_ceramic headlight restoration kit,SP,enabled,1.09,0.0,0.0
UK,[UK]_B0B94G13CN_PAINT_SP_EX_ceramic coating spray for cars,SP,enabled,1.02,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_car headlight restoration,SP,enabled,0.99,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_black tyre shine,SP,enabled,0.83,11.62,1.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_black plastic car trim restorer,SP,enabled,0.8,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlight cleaning kit,SP,enabled,0.77,0.0,0.0
UK,[UK]_B0CQN1RXYB_GLASS_SP_EX_glass coat,SP,enabled,0.77,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_headlights restoration kit,SP,enabled,0.75,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_ceramic headlight coating,SP,enabled,0.56,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tire coat,SP,enabled,0.51,23.24,1.0
UK,[UK]_B084RQKLV8_HL_SP_EX_sylvania headlight restoration kit,SP,enabled,0.45,14.96,1.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tyre shine wet look,SP,enabled,0.19,0.0,0.0
UK,[UK]_B0DKVZRX69_INTERIOR_SP_PH_ceramic interior detailer,SP,enabled,0.19,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_CERAMIC_TRIM_COAT_KIT,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_autoglym plastic trim restorer,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_CERAMIC_TRIM_COAT,SP,enabled,0.0,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_autoglym headlight restoration complete kit,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_ceramic tyre coating,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_car back to black plastic restorer,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_BRAND_CERAKOTE_CERAMIC_COATING,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_cerakote ceramic trim coat,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0B94G13CN_RCPAINT_SP_EX_car paint sealant protection,SP,enabled,0.0,0.0,0.0
UK,[UK]_B07SHJVK4G_TRIM_SP_EX_cerakote trim restorer,SP,enabled,0.0,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_BRAND_CERAKOTE_HEADLIGHT,SP,enabled,0.0,0.0,0.0
UK,[UK]_B084RQKLV8_HL_SP_EX_BRAND_CERAKOTE_CERAMIC_HEADLIGHT_RESTORAT,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0B94G13CN_PAINT_SP_EX_BRAND_CERAKOTE_CERAMIC_TRIM_RESTORER,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0F45C2YHV_TIRE_SP_EX_tire shine,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0DVB4P9KQ_SOAP16_SP_EX_KWMIX,SP,enabled,0.0,0.0,0.0
UK,[UK]_B0DVB4P9KQ_SOAP16_SP_PH_KWMIX,SP,enabled,0.0,0.0,0.0
