market,campaign,ad_type,state,spend,sales,orders
US,_TOTAL_,,,31352.77,143824.81,7431.0
US,[US]_B084RQKLV8_HL_SP_EX_headlight restoration kit,SP,enabled,6575.4,29242.15,1562.0
US,[US]_BEST SELLERS_SP_AT_CLOSE_LOOSE,SP,enabled,1530.59,8025.34,390.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_ B08745K56G _3M,SP,enabled,1479.2,7014.03,384.0
US,[US]_B084RQKLV8_HL_SB__CAROUSEL_PH_headlight restoration kit,SB,enabled,1367.14,4812.88,207.0
US,[US]_B0CN8HJSYM_PROPAINT_SP_EX_ceramic coating for cars,SP,enabled,1108.44,2616.26,47.0
US,[US]_B0FYRJ1966_PLASTIC_SP_PT_SELFDEF,SP,enabled,1089.38,5316.8,324.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_cerakote trim,SP,enabled,1069.22,5715.11,313.0
US,[US]_BEST SELLERS_SP_PT,SP,enabled,1035.07,5029.92,267.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_B00429NKWK_SYLVANIA,SP,enabled,850.72,3473.68,183.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_B08744Z3TD_3M,SP,enabled,699.72,2512.08,134.0
US,[US]_B0B94G13CN_RCPAINT_SP_PT_B07SHJVK4G_TRIM,SP,enabled,637.0,3581.61,175.0
US,[US]_B0B94G13CN_RCPAINT_SB_PT_BRANDED,SB,enabled,634.62,3795.99,180.0
US,[US]_B084RQKLV8_HL_SBV_PT_COMP_B00GZLMEPM_MOTHERS_SILVERADO,SB,enabled,590.47,2287.29,123.0
US,[US]_B0F45C2YHV_TIRE_SP_PT_COMP_CG_B00FJIT9BO,SP,enabled,542.96,2376.93,146.0
US,[US]_B07SHJVK4G_TRIM_SP_PH_trim restorer_,SP,enabled,504.43,1097.76,63.0
US,[US]_B084RQKLV8_HL_SP_AT_LOOSE_CLOSE_,SP,enabled,488.12,1018.18,55.0
US,[US]_B084RQKLV8_HL_SP_BR_KWMIX,SP,enabled,469.66,1540.88,82.0
US,[US]_B0CN8HJSYM_PROPAINT_SP_PT_SELFDEF,SP,enabled,411.23,2968.96,42.0
US,[US]_B07SHJVK4G_TRIM_SP_PT_SELF DEF,SP,enabled,362.15,1419.42,82.0
US,[US]_B0FYRJ1966_PLASTIC_SP_PT_BRANDED,SP,enabled,336.37,1719.31,101.0
US,[US]_B084RQKLV8_HL_SP_BR_light cleaner,SP,enabled,335.81,1398.36,74.0
US,[US]_B084RQKLV8_HL_SP_PT_B07SHJVK4G_TRIM,SP,enabled,308.93,1804.1,98.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_BRAND_cerakote,SP,enabled,305.33,1620.46,75.0
US,[US]_B084RQKLV8_HL_SP_AT_SUB,SP,enabled,297.18,713.76,36.0
US,[US]_B0B94G13CN_RCPAINT_SP_PT_ B084RQKLV8_HL,SP,enabled,288.0,1196.75,63.0
US,[US]_B07SHJVK4G_TRIM_SBV_PT_MIX_SILVERADO,SB,enabled,277.53,947.6,49.0
US,[US]_B084RQKLV8_HL_SP_PT_COMP_CG_HEADLIGHT,SP,enabled,275.03,1036.13,55.0
US,[US]_B0F45C2YHV_TIRE_SP_PT_SELFDEF,SP,enabled,273.35,1455.93,86.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_cerakote,SP,enabled,241.78,828.58,45.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_trim restorer,SP,enabled,215.72,878.28,50.0
US,[US]_B07SHJVK4G_TRIM_SBV_BR_BRANDED_SILVERADO,SB,enabled,205.96,902.62,38.0
US,[US]_B07SHJVK4G_TRIM_SP_CAT_Automotive Plastic Care Products,SP,enabled,203.94,1280.57,56.0
US,[US]_B084RQKLV8_HL_SP_PH_cerakote headlight,SP,enabled,203.71,2045.12,99.0
US,[US]_B0DKVZRX69_INTERIOR_SP_PT_SELFDEF,SP,enabled,202.05,1694.19,112.0
US,[US]_B07SHJVK4G_TRIM_SP_PT_B084RQKLV8_HL,SP,enabled,202.05,1634.13,92.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_tire shine,SP,enabled,188.98,633.98,38.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_trim coat,SP,enabled,178.41,618.9,37.0
US,[US]_B084RQKLV8_HL_SP_PH_cerakote,SP,enabled,152.02,892.03,45.0
US,[US]_B084RQKLV8_HL_SP_CAT_Automotive Headlight Restoration Kits,SP,enabled,147.16,675.15,35.0
US,[US]_B084RQKLV8_HL_SP_PH_headlight restoration,SP,enabled,144.62,644.4,33.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_cerakote,SP,enabled,143.21,561.24,28.0
US,[US]_B0DJMW6283_MFTOWELS_SP_AT_CLOSE_LOOSE,SP,paused,141.18,515.11,39.0
US,[US]_B07SHJVK4G_TRIM_SP_AT_SUB,SP,enabled,140.96,229.09,14.0
US,[US]_B084RQKLV8_HL_SP_PH_headlight cleaner,SP,enabled,132.3,444.68,25.0
US,[US]_B0CN8HJSYM_PROPAINT_SP_EX_KWMIX,SP,enabled,125.71,368.14,7.0
US,[US]_B0B94G13CN_RCPAINT_SP_AT,SP,enabled,122.3,604.69,28.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_tire coating,SP,enabled,117.24,405.45,24.0
US,[US]_B07SHJVK4G_TRIM_SP_BR_ceramic trim,SP,enabled,100.52,520.4,26.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_back to black plastic restorer,SP,enabled,100.45,220.51,13.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_PT_B0B94G13CN_RCPAINT,SP,enabled,96.54,280.79,19.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_cerakote,SP,enabled,95.04,368.05,23.0
US,[US]_B084RQKLV8_HL_SP_EX_ceramic headlight restoration kit,SP,enabled,93.93,785.0,37.0
US,[US]_B0DKVZRX69_INTERIOR_SP_PT_B0B94G13CN_RCPAINT,SP,enabled,89.84,587.71,39.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_tire dressing,SP,enabled,89.55,291.3,18.0
US,[US]_B084RQKLV8_HL_SBV_PH_headlight_restoration_HLV2,SB,enabled,89.19,376.95,21.0
