market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
ES,_TOTAL_,,,3640.77,172,168,528.97,1250.98,2365
ES,B084RQKLV8,AH-HLKITA,CERAKOTE Kit de Limpieza de Faros y Restauracion,2458.28,112,112,238.32,794.86,1093
ES,B0B94G13CN,AH-RCPAINTA,CERAKOTE Rapid Ceramic Paint Sealant,506.04,22,20,184.46,279.54,568
ES,B07SHJVK4G,AH-TRKITA,CERAKOTE Kit de Revestimiento de ceramica (Trim Coat),319.53,16,15,42.83,109.64,299
ES,B0F45C2YHV,AH-RCTIRE10A,CERAKOTE Rapid Ceramic Tire Coat,181.63,11,11,59.28,56.15,169
ES,B0FYRJ1966,AH-RCPL-B14A,Cerakote Rapid Ceramic Plastic Restorer,125.65,7,6,0,0,75
ES,B0CQN1RXYB,AH-GLASSCOATA,CERAKOTE Recubrimiento de Vidrio Ceramico,49.64,4,4,4.08,10.79,116
ES,B0DJMW6283,AH-MICRTOWEL12A,CERAKOTE Toallas de microfibra 12,0,0,0,0,0,2
ES,B0DKVZRX69,AH-RCINT14A,CERAKOTE Rapid Ceramic interiores 414 ml,0,0,0,0,0,21
ES,B0FW6WFX4D,AH-RCWHL14A,CERAKOTE Sellador rapido de ruedas,0,0,0,0,0,19
ES,B0DVB4P9KQ,AH-VEHSHAM16A,CERAKOTE Champu de alta espuma,0,0,0,0,0,3
