market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
FR,_TOTAL_,,,7887.29,357,347,875.51,3025.78,2265
FR,B084RQKLV8,AH-HLKITA,CERAKOTE Kit de restauration de phares,6552.78,286,279,662.09,2306.86,1645
FR,B0F45C2YHV,AH-RCTIRE10A,CERAKOTE Revetement Ceramique Rapide pour Pneus,675.88,36,36,173.04,454.58,282
FR,B07SHJVK4G,AH-TRKITA,CERAKOTE Kit de revetement en ceramique (Trim Coat),351.75,16,15,30.92,213.64,167
FR,B0B94G13CN,AH-RCPAINTA,CERAKOTE Platinum Rapid Spray peinture ceramique 414 ml,95.80,4,4,0,0,38
FR,B0DKVZRX69,AH-RCINT14A,CERAKOTE Rapid Spray nettoyant interieur 414 ml,67.42,5,3,0,0,14
FR,B0CQN1RXYB,AH-GLASSCOATA,CERAKOTE Revetement en Ceramique pour Verre,44.85,3,3,9.46,50.70,62
FR,B0DVB4P9KQ,AH-VEHSHAM16A,CERAKOTE Shampoing High Foam 473 ml,33.90,2,2,0,0,3
FR,B0DJMW6283,AH-MICRTOWEL12A,CERAKOTE Lot de 12 serviettes microfibre,29.34,3,3,0,0,13
FR,B0FYRJ1966,AH-RCPL-B14A,CERAKOTE Rapid Ceramic Restaurateur plastique,18.95,1,1,0,0,20
FR,B0FW6WFX4D,AH-RCWHL14A,CERAKOTE Mastic Rapide en Ceramique pour Roues,16.62,1,1,0,0,11
FR,B0CN8HJSYM,AH-PROPAINTKITA,CERAKOTE Revetement ceramique kit professionnel 60 ml,0,0,0,0,0,10
