market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
UK,_TOTAL_,,,26319.91,1538,1514,2662.19,12142.07,7902
UK,B084RQKLV8,AH-HLKITA,CERAKOTE Ceramic Headlight Restoration Kit 10 Wipe Kit,20081.00,1119,1106,1836.94,9669.06,4360
UK,B0F45C2YHV,AH-RCTIRE10A,CERAKOTE Rapid Ceramic Tire Coat 10 oz,2803.95,201,196,520.82,1533.32,1202
UK,B0B94G13CN,AH-RCPAINTA,CERAKOTE Rapid Ceramic Paint Sealant Spray 14 oz kit,1099.10,58,56,147.93,576.02,814
UK,B0FYRJ1966,AH-RCPL-B14A,CERAKOTE Rapid Ceramic Plastic Restorer and Protectant Spray 14 oz,937.87,63,62,46.11,87.22,645
UK,B0FW6WFX4D,AH-RCWHL14A,CERAKOTE Rapid Ceramic Wheel Sealant Spray 414 ml,358.80,24,24,0,0,98
UK,B0CQN1RXYB,AH-GLASSCOATA,CERAKOTE Ceramic Glass Coat Protectant 4 Wipes,310.70,26,25,45.37,52.29,349
UK,B0DKVZRX69,AH-RCINT14A,CERAKOTE Rapid Ceramic Interior Detailer Spray 414 ml,208.05,19,19,43.55,54.72,186
UK,B0CN8HJSYM,AH-PROPAINTKITA,CERAKOTE Ceramic Coating for Cars Professional 60 ml Kit,169.90,2,2,0,0,70
UK,B07SHJVK4G,AH-TRKITA,CERAKOTE Ceramic Trim Coat Kit 10 Wipe Kit,169.50,10,10,16.84,125.44,95
UK,B0DVB4P9KQ,AH-VEHSHAM16A,CERAKOTE High Foam Vehicle Shampoo 473 ml,101.44,8,7,4.63,44.00,38
UK,B0DJMW6283,AH-MICRTOWEL12A,CERAKOTE Microfibre Towels 12 Pack,79.60,8,7,0,0,28
UK,B0H7TNPMYM,,,0,0,0,0,0,16
UK,B0FX5WH19H,AH-MFDRYTWLA,CERAKOTE Premium Microfibre Drying Towel 1200 GSM,0,0,0,0,0,1
