market,asin,sku,title,sales,units,orders,ppc_cost,ppc_sales,sessions
US,_TOTAL_,,,345704.13,18669,17821,29328.15,134950.62,82896
US,B084RQKLV8,AH-HLKITA,"CERAKOTE® Ceramic Headlight Restoration Kit, 10 Wipe Kit",166784.83,9336,8980,14201.47,62210.07,30209
US,B07SHJVK4G,AH-TRKITA,CERAKOTE® Ceramic Trim Coat Kit - Quick Plastic Trim Restorer - Ceramic Coating ,55000.72,3282,3112,5181.13,27024.06,13348
US,B0B94G13CN,AH-RCPAINTA,"CERAKOTE® Rapid Ceramic Paint Sealant, Ceramic Coating for Cars, 14 oz",21238.88,1083,995,2118.28,9346.28,9719
US,B0F45C2YHV,AH-RCTIRE10A,"CERAKOTE® Rapid Ceramic Tire Coat, 10 oz",19239.75,1295,1248,1974.73,8641.42,4577
US,B0FYRJ1966,AH-RCPL-B14A,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Spray, 14 oz",15172.96,1024,990,2034.8,10416.6,5558
US,B0CN8HJSYM,AH-PROPAINTKITA,"CERAKOTE® Ceramic Coating for Cars, Professional 60 Ml Kit",13526.15,137,125,1791.49,7478.5,2039
US,B08FF6X75N,AH-828A,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, 20 Wipes",10569.35,213,201,0,0,2620
US,B0DJMW6283,AH-MICRTOWEL12A,"CERAKOTE® Microfiber Towels for Cars, 300 GSM Lint-Free Cloths, 12 Pack",5226.77,527,471,196.62,729.25,1338
US,B0C4QX35KX,AH-TRPROAUPC,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 4 oz",5185.45,131,126,29.83,90.06,714
US,B0DKVZRX69,AH-RCINT14A,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 14 fl oz",4271.48,369,365,696.01,4041.64,1951
US,B08DDGFXPK,AH-810A,"CERAKOTE Ceramic Trim Coat Black Plastic Restorer for Cars, 50 Wipes",4213.95,57,55,0,0,665
US,B0C4ZVMRRK,AH-RCPAINTQA,CERAKOTE® Rapid Ceramic Paint Sealant - 32 oz Bulk Pack - Extremely Hydrophobic ,3655.99,105,101,0,0,666
US,B0GY1XLQMS,AH-RCTIRE-QA,"CERAKOTE® Rapid Ceramic Tire Coat, Deep Black Tire Shine Pro Pack, 32 oz",2992.35,79,79,0,0,490
US,B0CQN1RXYB,AH-GLASSCOATA,"CERAKOTE® Ceramic Glass Coat Protectant, Rain Repellent for Cars, 4 Wipes",2961.1,298,259,665.32,2827.13,2545
US,B0DVV6K9Y6,AH-VEHSHAM32A,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 32 oz",2586.34,162,157,280.05,1252.65,636
US,B0FW6WFX4D,AH-RCWHL14A,"CERAKOTE® Rapid Ceramic Wheel Sealant Spray, 14 oz",2278.45,143,140,45.65,197.32,504
US,B08DDJ49X7,AH-811A,"CERAKOTE® Ceramic Headlight Restoration Detailer Pack, Step 1, 50 Wipes",1666.6,28,28,15.0,64.32,572
US,B0H1NM7467,AH-RCPL-QA,"CERAKOTE® Rapid Ceramic Plastic Restorer and Protectant Pro Pack, 32 oz",1661.45,62,59,0,0,434
US,B0F3G1V5SF,AH-813A,"CERAKOTE® Ceramic Glass Coat Pro Pack, Rain Repellent, 20 Wipes",1112.6,28,28,0,0,214
US,B0GYBH76BR,AH-PROWHLKITA,"CERAKOTE® Ceramic Coating for Wheels and Rims, Professional 30 ml Kit",896.25,15,15,34.28,239.8,251
US,B0DVB4P9KQ,AH-VEHSHAM16A,"CERAKOTE® High Foam Vehicle Shampoo, pH Neutral Car Wash Soap, 16 oz",707.37,71,71,0.65,15.97,508
US,B0H1NP4461,AH-RCPV14A,"CERAKOTE® Rapid Ceramic PPF and Vinyl Protective Sealant Spray, 14 oz",640.3,28,28,0,0,217
US,B0DH5HKH5R,AH-SPONGE3A,"CERAKOTE® Premium Microfiber Applicator Pads for Cars, 3 Pack",625.15,70,70,0,0,173
US,B0H3QLBNZF,AH-PROPVKITA,"CERAKOTE® Ceramic Coating for PPF and Vinyl Wrap, Pro 60 ml Kit",574.75,5,5,3.84,0.0,137
US,B0CN8MFBLH,AH-PROPAINT12,"CERAKOTE® Professional Ceramic Coating for Cars, 360 ml Kit",494.95,1,1,8.43,0.0,37
US,B0DKVBTNNT,AH-RCINT14-2PK,"CERAKOTE® Rapid Ceramic Interior Detailer and Protectant Spray, 2 Pack",398.2,20,19,0,0,104
US,B0DH5ZC1N4,AH-FOAMAPP3,"CERAKOTE® Foam Applicator Pads for Tire Coating, 3 Pack",383.5,43,42,0,0,135
US,B0F2JBJXYJ,AH-RCACA,Cerakote Rapid Ceramic Aircraft Protective Coating (14 oz.) - Aviation Grade Cer,251.55,9,4,0,0,487
US,B0F2JL4F2W,AH-BNDL-COREA,"CERAKOTE® Ceramic Car Wash Kit, 7 Piece",212.85,3,3,2.85,0.0,48
